title,summary,category
전통주(가양주) 집에서 쉽게 만들기,"일제가 집집마다 빚어오던 우리 전통술인 가양주를 금지시킴으로서 600여 종의 우리 술은 거의 사라지는 듯 했다. 그러나 온갖 화학주의 홍수 속에서 최근의 건강을 생각하는 웰빙 트렌드는 약식동원(藥食同源)과 술을 음식으로 생각하고 과하게 하지 않던 우리 전통을 돌아보게 했다.

저자는 전통 우리 술의 제조법을 되살리고 전수하기 위해 전통주학교를 이끄는 등 노력을 펼쳐왔으며, 그 비법으로 만든 오양주 ‘천비향’은 2016년 청와대 만찬주로 선정되기까지 했다. 누구나 쉽게 집에서 품격 높은 자신만의 술을 만들어 볼 수 있도록 표준화된 계량을 제시하고, 술 제조과정을 사진과 함께 자세하게 설명해 놓았다.

또한, 독자들은 누룩편, 막걸리편, 청주편, 소주편을 따라 가면서, 누룩을 띄우고, 막걸리와 청주와 소주를 만들어 볼 수 있다. 이 책은 중국에서도 최초로 출판하게 되어 한국의 전통주가 세계로 소개되는 발판을 열어가고 있다.",Home_Cook_Beauty
친절한 가죽공예 DIY (8시간 동영상 강의 DVD 2장 & 전 작품 실물 도안 포함),"친절한 DIY 교과서 시리즈 11번째 책. 최근 많은 사람들에게 많은 관심을 받고 있는 가죽공예에 대한 입문 활용서로 수년간 현장에서 가죽공예를 강의하면서 터득한 작가들의 생생한 노하우가 가득 담긴 제대로 된 가죽공예 교과서이다. 가죽공예의 기본 기법은 물론이고, 간단한 소품에서 멋진 가방까지 무려 62개 작품의 상세 제작 과정을 친절하게 설명하고 있어 이 책 한 권이면 만들 수 없는 것이 없을 정도로 다양한 작품의 제작 노하우를 소개하고 있어 가히 가죽공예의 교과서라 할 만한 책이다.

가죽공예를 처음 시작하는 독자들도 이 책에 제공되는 두 장의 DVD가 있으니 어려워하지 말고 도전해보면 어떨까? 가죽공예 입문하는 초보자에게 꼭 필요한 가장 기초가 되는 가죽공예의 기초인 형지 만들기 및 옮겨 그리기, 가죽 재단하기, 네츄럴 베지터블 가죽에 무늬 넣기, 염색하기, 피할하기, 접착하기, 바느질 선과 간격 표시하기, 바느질 구멍 뚫기, 바느질하기, 리벳과 그로멧, 스냅, 와이어스냅 달기, 옆면 및 뒷면 정리하기 등 가죽공예에 꼭 필요한 기본 기법들은 DVD 타이틀로 원하는 강좌를 클릭만 하여 볼 수 있고, 책과 함께 교차 학습할 수 있도록 구성되어 있다.

또한 가죽공예의 실전 제작 방법을 쉽게 이해할 수 있도록 8개 실전 작품의 제작 과정까지도 동영상 강의로 제공한다. 지나칠 정도로 상세한 가죽공예 기본 기법과 다양한 제품의 제작 과정을 담은 DVD 동영상 강의를 참고하면 가죽공예에 처음 도전하는 사람이라도 가죽공예의 기본기를 튼튼히 다지고 나만의 다양한 가죽공예 작품을 만들 수 있을 것이다.",Home_Cook_Beauty
화성남자 금성여자의 자녀교육,"표지와 본문 편집을 새로 한 <아이를 현명하게 키우는 비결>의 개정판. 화성남자 금성여자 시리즈로 유명한 존 그레이가 자녀교육에 대한 지혜를 들려준다.

아이들을 천국에서 왔다고 보고, 긍정적인 양육법을 주장한다. 부모와 협력하게 만들기, 처벌하지 말고 상 주기, 타임아웃으로 통제하기 등 저자만의 노하우를 접할 수 있다.",Home_Cook_Beauty
온지음이 차리는 맛,"우리나라 의식주 전통문화를 올바르게 계승하고 현대화하여 내일의 유산을 만들어가는 창조적인 장인들의 공방인 전통문화연구소 온지음 맛공방에서 그동안 익힌 지혜와 기술들이 담긴 조리법을 사계절로 나눠 계절별로 약 20개씩을 책 속에 담았다.

고유의 맛과 정신과 미학을 품은 한식, 계승하고 지켜나가야 할 한식을 오늘날에도 유의미한 메뉴로 개발하여 제안하는데 책의 목적이 있으며, 조선시대 양반가 음식인 반가 음식의 담백한 맛과 맵시, 영양의 균형, 검박하고 절제된 멋에서 그 답을 찾았다.

옛 조리서의 귀한 조리 방법도, 일상화된 서양식 조리법의 응용도, 편안한 향토 음식이나 친숙한 길거리 음식도 지금의 한국의 맛에 유의미하다 판단된다면 반가음식이 지난 맛과 멋의 체로 걸러내어 재료 고유의 맛과 맵시를 지닌 온지음의 ‘현대화된 반가 일상식’으로 선보인다. 그와 함께 전통이 동시대 속에서 어떤 방식으로 살아 숨쉬어야 하는지에 대한 고민하는 ‘21세기 새로운 장인’ 으로서 온지음 맛공방 연구원들의 일상도 함께 엿볼 수 있다.",Home_Cook_Beauty
[세트] 패턴 학교 1~2 세트 - 전2권,"오랜 시간 축적된 옷 만들기 교육의 경험과 노하우가 이 한 권에 고스란히 담겨 있다. 2014년 《패턴 학교》가 처음 출간된 이래 이 책은 꾸준히 양재 부문 스테디셀러로 자리매김하고 있으며 “이 책 한 권으로 충분하다” “그동안 이런 책을 기다렸다”는 독자들의 호응이 줄을 잇고 있다.

《패턴 학교 Vol. 상의편》은 BUNKA FASHION COLLEGE의 마루야마 하루미 선생이 디자인 제작을 위한 핵심 사항을 콕콕 짚어 기초 강의, 특별 강의, 실습으로 나누어 설명한다. 기초 강의에서는 상의 만들기에 필요한 몸판, 소매, 칼라 디자인과 패턴을 학습한다. 여러 디자인을 익혀 다양한 스타일을 연출할 수 있다. 특별 강의에서는 기초 강의에서 배운 패턴을 토대로 응용하는 방법을 학습한다. 패턴 일부에 변화를 주고, 디자인 요소를 가미해 나만의 특별한 감각을 실현한다.

실습에서는 디자인 결정 방법과 패턴 만드는 과정을 배운다. 자신이 만들고 싶은 옷의 디자인이 구체화되며, 패턴 만드는 순서가 머릿속에 체계적으로 선다. 집중 강의에서는 실제로 패턴을 만들기 위한 작업을 소개한다. 제도부터 시접을 넣는 패턴까지, 패턴 만드는 노하우를 차근차근 따라 하다 보면 나도 어느새 디자이너에 성큼 다가선다!

이 책은 ‘제도 입문서’로서의 역할도 한다. 기본 패턴을 ‘원형’으로 사용함으로써 원형 제도의 기본을 습득할 수 있다. 마스터하면 다양한 디자인을 시도할 수 있어 옷 만들기가 한층 더 즐거워질 것이다.",Home_Cook_Beauty
일본 가정식 도시락,"요시이 시노부의 대표작이자, 지금도 가장 많이 팔리는 일본 도시락 요리서로 손꼽히는 베스트셀러. 봄, 여름, 가을, 겨울 자연의 맛을 고스란히 담은 40가지의 일본 가정식 메뉴와 곁들임 음식이 알차게 담겨 있다.

소셜미디어를 비롯한 인터넷에서 일본 가정식 전문가로 유명한 요시이 시노부의 사계절 도시락 레시피. 그녀의 간편하고 센스 있는 레시피는 특히 젊은 여성들 사이에서 인기가 높다. 특히 일반 요리법과는 다른 도시락 요리법을 누구나 따라할 수 있도록 친절하게 안내한다. 또한 채식 레시피와 육식 레시피를 별도로 소개, 입맛과 취향에 맞는 메뉴를 선택할 수 있다.",Home_Cook_Beauty
자수 배우기,"자수 연구가 손경숙 선생님이 전통 자수의 대중화를 위해 쓴 책이다. 전통 자수에 흥미를 느끼고 누구나 쉽게 따라할 수 있도록 자수의 역사와 종류, 쓰임새는 물론 기초 수법과 자수를 활용한 여러 가지 소품 만드는 방법을 상세하게 소개한다.

가장 기본이 되는 24가지 수법을 선정하여 수놓는 단계를 하나하나 상세하게 설명하였고, 이해를 돕기 위해 사진과 삽화를 풍부하게 제시하였다. 더불어 자수를 활용하여 여러 가지 생활 소품을 만드는 방법과 다양한 도안을 수록하여 만드는 과정의 즐거움과 실제 쓰임에서 오는 만족감을 느낄 수 있을 것이다.",Home_Cook_Beauty
우리집 작은 정원 미니분재 만들기,"최근 집 안에서 즐기는 취미가 유행이다. 그중에서 ‘반려식물 기르기’는 시간과 비용이 많이 들지 않아 더욱 인기다. 이 책은 화분에 자연의 경치를 작게 옮겨놓는 ‘분경분재’를 중심으로 미니분재를 만들고 가꾸는 방법을 알려준다. 기본 도구와 사용법, 화분·흙·화장토 고르기, 계절마다 어울리는 분재, 미니분재 만들기 규칙, 식물을 더 매력적으로 만드는 화분과 장식의 종류, 물이나 비료 주기 같은 기본 관리법 등을 망라하고 있다.

일상에 지치고 힘들 때, 집 밖에 나가지 못해서 갑갑할 때, 미세먼지 때문에 숨 막힐 때, 화분에 심어진 작은 식물을 가만히 바라보고 있으면 어느새 마음이 차분해지고 깨끗해지는 경험을 하게 된다. 식물에 애정을 쏟아주고 식물에게 힐링을 얻으면서 관계가 형성되고 반려식물이 된다. 작은 화분 속에서 자연을 발견하고 느끼는 저자는 이렇게 이야기한다. “우리는 때로 인간의 힘으로는 도저히 만들 수 없는 자연의 장대함과 아름다움에 마음이 치유되고 위로를 받는다.”",Home_Cook_Beauty
Home Cafe : 파스타,"'홈 카페' 시리즈 파스타편. 똑같은 파스타로 요리해도 소스에 따라 다양한 맛을 느낄 수 있다. 담백한 올리브오일, 상큼한 토마토소스, 풍부한 크림소스, 깔끔한 페스토 등의 다양한 소스를 이용해 마늘 허브 링귀니, 토마토 치즈 스파게티, 대하 비스큐 링귀니, 볼로네제 페투치니, 명란 크림 펜네 등 특별한 한 끼를 만들어 줄 다양한 메뉴를 담았다. 또한, 꼭 알아야 할 치즈와 허브의 종류, 파스타 생면 만드는 법, 맛있는 파스타를 만드는 10가지 방법 등 파스타를 만들 때 꼭 알아야할 기본적인 정보 등도 친절하게 알려 준다.",Home_Cook_Beauty
"서른다섯, 다시 화장품 사러 갑니다","나에게 맞는 제품 고르는 법을 알려주는 기초화장품 쇼핑 가이드. 화장품 비평가인 저자가 철저하게 과학적인 근거를 바탕으로 자외선차단제, 안티에이징 제품, 각질제거제, 클렌저, 약국 연고 고르는 법을 알려준다.

저자는 많은 사람이 잘못 알고 있는 불량 정보를 살펴보며 오류를 바로잡고, 성분표를 제대로 활용하는 방법을 안내한다. 기능별로 성분이 어떻게 달라지는지, 합리적인 가격은 얼마인지, 적당한 pH는 얼마인지 등 화장품을 살 때 따져야 할 것들을 단계별로 설명한다.

사용감이 좋은 자외선차단제의 성분표, 순한 지성·여드름 피부용 클렌저의 성분표 등 참고할 만한 사례도 제시한다. 나아가 소듐라우릴설페이트, 트리클로산, 살리실릭애씨드 등 유해하다고 알려진 성분을 과학적으로 분석해 오해를 바로잡고, 이러한 성분이 들어 있는 좋은 제품의 사례도 안내한다.

피부 노화를 실감하며 기초화장품에 투자하기 시작하는 30대, 바이오리듬이 바뀌어 달라진 피부 타입에 맞는 새로운 화장품을 찾는 사람들에게 특히 유용한 쓸모 있는 지식을 제공한다.",Home_Cook_Beauty
