title,summary
2015 S.D 모의평가 영어영역 (8절),"최근 어떤 유형에서 변별력을 갖추는지, 또한 어느 유형 문제에서 연계 문항과 비연계 문항의 균형이 조절되거나 변화할 수 있는지에 대한 여부를 기존의 기출문제들을 통한 베이스와 평가원의 방향성을 분석하는 것을 통해 제작한 모의평가이다."
2016 한석원 실전모의고사 1 수학 A (2015년),"시리즈로 출시되며 6평 이후부터 수능 직전까지 수험생의 학습 스케줄에 맞춰 체계적인 마무리 학습을 할 수 있도록 총 15회분(1권 - 8회분, 2권 - 7회분)으로 구성하였다. ‘2016 한석원 실전모의고사 1’은 많은 수험생들로부터 인정받은 2014, 2015 한석원 실전모의고사에서 우수문항만을 엄선하여 8회분으로 구성한 수능 대비 실전모의고사이다."
초단기! 수능국어 문법 B형,"2014 수능국어의 문법영역에 대비하기 위한 교재로, 5.17 예비시험을 분석, 반영하여 새수능 체제에 맞게 구성하였다. 총 15강으로 구성하고 각 강의 쪽수를 적절히 안배하여 학교 보충 교재로 사용할 수 있도록 기획되었다."
리얼 오리지널 수능기출 6.9.수능 봉투 모의고사 10회 국어 영역 (2020년),"수능기출 최초의 봉투형 모의고사로써 2018~2020학년도 최근 3개년 동안 시행된 평가원 ‘6.9.수능’ 기출 문제만 10회를 제공한다. 2021 수능과 모의평가 및 학력평가를 대비하는 교재이며, 실제 수능시험과 100% 동일한 글자 크기로 되어 있다. 교재의 구성은 [문제지 10ea, 해설지 10ea, OMR카드 12ea]로 되어 있고, 실제 시험과 똑같이 한 회분씩 꺼내서 풀어 볼 수 있다."
메가스터디 빅데이터 전국연합학력평가 기출문제집 고1 영어영역 독해 (2020년),"고등학교 1학년 학생들이 전국연합 기출문제를 중심으로 공부 계획을 세워 실천할 수 있도록 메가스터디가 <빅데이터 전국연합 학력평가 고1 영어 독해>를 출간하였다. 최근 4년간 실시된 전국연합 학력평가 기출문제를 분석, 유형별로 분류하여 주5일, 6주 학습 플랜을 제공한다.

입체적이고 자세한 해설, 합격선배들의 문제 풀이 Tip, 그리고 각 문제마다 QR코드로 제공하는 메가스터디 스타 강사의 무료 해설강의로 가장 효율적인 학습을 가능하게 한다. 오직 메가스터디만이 제공할 수 있는 고1 학생들을 위한 가장 완벽한 기출 문제집이다."
자이 프리미엄 Xi Premium 영어 고급 독해 완성 407제 (2016년),"2017 수능을 준비하는 수험생, 독해 유형별 실전 적용 훈련이 필요한 수험생, 명쾌한 해설, 오답풀이, 자기주도학습을 원하는 수험생들을 위한 학습서로 수능 기출 전개년 지문을 완벽 분석하여 수능 시험에 가장 근접한 지문만을 엄선하였다. 체계적인 학습 시스템의 단계별 독해 훈련으로 실전에 강해지기 위해 탄생한 교재이다."
미래로 수능 기출문제집 04 국어 독서 B형,"최근 5년간 기출문제가 수록되어 있다. 최근 수능 국어 B형의 출제 경향에 따라 대학수학능력시험ㆍ평가원 모의수능평가ㆍ전국연합 학력평가 기출 지문 125개를 각 제재별(인문ㆍ사회ㆍ과학ㆍ기술ㆍ예술) → 연도별로 일목요연하게 분류하였다. 또 생활 독서 문항을 추가로 수록하여 수능 국어의 경향과 흐름을 한눈에 파악할 수 있도록 하였으며, 실제 시험에 대한 적응력을 배양하도록 구성하였다."
랑데뷰 N제 수학 1 쉬사준킬 (2021년),"수능 대비 수학 문제집 랑데뷰N제 시리즈는 다음과 같은 난이도 구분으로 구성된다. 1단계- 쉬운3점 어려운3점 (쉬삼어삼) (오르비-전자책), 2단계 -쉬운4점 어려운 4점 (쉬사준킬) (오르비-종이책), 3단계- 킬러 (킬러극킬) (오르비-종이책). 랑데뷰 N제 수학I 쉬사준킬은 쉬운 4점과 준킬러급 난이도 변형 자작 240문항이 출제유형별로 배치되어 있다."
반드시 합격하는 자기소개서 뚝딱 쓰기,"상황별 예시를 통해 쉽게 이해하는 단계별 글쓰기 과정과 작성 시 유의 사항, 지원 학과별 작성법까지 이 책 한 권으로 끝낸다. 십대들의 가장 큰 고민거리는 대학 입시다. 이 책은 입시에 뛰어든 대한민국 학생이라면 누구나 한 번쯤은 써야 하는 자기소개서를 잘 쓰는 방법을 담고 있다.

저자는 수십 년간 입시 컨설팅을 하며 쌓은 노하우를 이 책에 모두 담아냈다. 여러 학생의 실제 사례를 통한 생생한 예시와 누구나 따라올 수 있는 단계별 작성법, 지원 학과별 특징과 유의 사항, 직접 써보는 자기소개서 연습장 등 이 책이 제시하는 길을 따라오다 보면 어느새 자기소개서 한 편이 뚝딱 완성되어 있을 것이다.

좋은 대학교 혹은 원하는 대학교에 입학하는 것이 간절한 당신에게 빠르고 안전한 자기소개서 작성법을 소개한다. 이 책은 대입을 준비하는 바쁜 수험생뿐만 아니라 수험생 자녀를 둔 자녀 혹은 수험생 제자를 둔 교사들에게도 친절한 지침서가 되어줄 것이다."
N기출 수능기출 문제집 국어영역 독서편 (2020년),"""N기출""은 수능 대비에 있어 가장 중요한 기출 문제를 효과적으로 학습할 수 있는 기출 문제집이다. ""N기출 국어영역_독서편""은 5개년 수능과 평가원 모의평가를 정해진 시간 내에서 실전처럼 풀어 보고, 자신의 실력을 진단할 수 있도록 구성하였다."
씨뮬 6th 수능기출 6.9.수능 평가원 3년간 모의고사 고3 국어 (2018년),"실제 시험지의 크기와 느낌을 그대로 살려 실전처럼 테스트할 수 있으며, 문제를 푼 후 정답과 등급컷을 바로 확인 가능하여 성적 관리와 실력 향상에 유용하다. 감으로만 문제를 풀던 수험생들, 다양한 문학 작품, 길고 어려운 비문학 지문에 대한 학습법을 몰랐던 수험생들에게 학습 길잡이가 되도록 수험생 입장에서 해설을 구성하였다."
이투스 No.1 넘버원 모의고사 신승범 파이널 수학 나형 (6회분) (2017년),"실제 수능을 미리 경험할 수 있는 봉투모의고사. 실수 방지 및 사고의 폭을 넓힐 수 있도록 특화한 해설을 수록하였고, 1-2-3단계의 철저한 검토 과정을 거쳐 완성도를 높였다."
BT21 스터디플래너 : COOKY(쿠키),"요즘 학생들의 필수 아이템 중 하나인 스터디플래너와 BT21이 만나 <BT21 스터디플래너>가 출간되었다. BT21 캐릭터 라인이 스터디플래너 구성에 반영되어 총 8개월 동안 사용할 수 있도록 만들어졌다. 또한 RJ(알제이), SHOOKY(슈키), CHIMMY(치미), KOYA(코야), COOKY(쿠키), MANG(망), TATA(타타), VAN(반) 등 각 캐릭터를 소개하는 지면이 꾸려졌으며, 귀여운 BT21 스티커 2매가 포함되었다."
모자이크 EBS 변형문제 수능특강 영어독해연습(상) 440제 (2018년),"2018년 EBS 수능특강 영어독해연습 1강에서 9강까지의 변형문제를 의미하며, 2019학년도 대학수학능력시험 영어과 시험과 학교 내신을 철저히 대비할 수 있도록 도움을 주고자 전국 영어 전문가 집필집단인 '지꽃피: 지식을 꽃 피우다'에서 심혈을 기울여 제작한 변형문제 시리즈다. 학생들에게 수능과 똑같은 유형의 변형문제를 통하여 실제 시험에서도 똑같이 적용함은 물론 원래 문항 1문제에 4개 문항의 변형문제를 제시함으로써 지문을 완전히 내 것으로 만들고자 함에 목적이 있다."
2018 수능대비 마더텅 수능기출문제집 동아시아사 (2017년),"2017학년도 수능.모의평가, 2016년 학력평가 기출문제 전 문항을 수록하였으며, 수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항을 정리하였다. 전 문항, 모든 선지에 100% 첨삭해설을 수록했고, 2014~2017학년도 4개년 수능.모의평가 12회분 연도별로 추가 수록하였다."
개념원리 단기완성 와투와 미적분 1 (2019년 고3용),"얇지만 중요한 알맹이는 모두 실었다. 교과서를 철저히 분석하여 개념과 핵심을 쉽게 마스터 할 수 있도록 하였고, 전국 기출 및 수능 문제를 철저히 분석하여 자주 출제되는 문제들을 모아 내신과 수능에 대비할 수 있도록 하였다. 단기간에 마스터 할 수 있도록 핵심과 중요한 유형을 10강으로 구성하였다."
메가스터디 듣기 모의고사 22회 수능영어,2014년도에 치러질 2015학년도 수능 영어 듣기를 완벽 반영한 교재. 문항수에서의 변화뿐만 아니라 2014학년도에 치른 수능 영어영역 A/B형을 통합하여 출제한다는 교육부의 방침에 따라 문제의 유형이나 난이도를 구성하는 데 있어 이를 최대한 반영하도록 하였다.
MEGASTUDY 메가스터디 과학탐구영역 화학 1 480제,"본서는 단원 별 학습 방법과 자주 출제되는 아이템과 대표 문제를 소개하고, 중요 아이템의 문항 유형이 변형된 과정을 진화의 관점에서 설명하였으며, 과학적인 아이템 분석(도표, 그래프)을 토대로 이후 수능에 출제될 아이템과 경향을 예상하였다.

또한, 시험에 자주 출제되는 세부 아이템 별 아이템 강의-최신형 기출문제-예상문제 순의 학습으로 기출문제의 효과적 학습, 아이템 별 마스터 학습이 가능하도록 하였으며, 아이템 별 학습 후 실전 형 모의 시험을 통해 테스트하여, 부족한 아이템 진단 및 피드백이 가능하도록 하였다."
2021 수능대비 마더텅 수능기출 30분 고난도 미니모의고사 20회 고3 수학 영역 가형 (2020년),"매일 30분씩, 고난도 기출 6문제를 풀 수 있는 교재다. 수능.모의평가.학력평가 기출문제 중 고난도 120문항을 엄선하여 짧은 시간에 1등급을 대비할 수 있다. 정답률이 낮은 수학Ⅰ, 확률과 통계, 미적분 문제를 체계적으로 배치하였고, 전 문항 풀이에 개념을 잡아주는 단계별 해설, 자세한 첨삭 해설을 제공한다."
531 프로젝트 PROJECT 수학을 빠르게 확률과 통계 S (Speedy) (2021년용),"단원별 꼭 알아야 하는 핵심 개념은 물론 빈출 유형을 집중적으로 학습할 수 있는 교재이다. 단원별로 다루어지는 빈출 유형 중 학교 내신 문제 또는 수능 3, 4점으로 출제 가능한 문제를 집중 학습할 수 있고, 문제 풀이를 통해 유형별 해결 능력을 확실하게 다질 수 있도록 친절하고 상세한 해설과 첨삭을 덧붙였다."
2016 수능 대비 마더텅 수능기출문제집 국어 독서 A형,"2008년부터 2014년까지 180만 수험생이 선택한 마더텅 수능기출문제집의 전면 개정판.
- 2006학년도~2015학년도 10개년 수능.평가원.학력평가 기출문제 수록
- 가장 최근에 시행된 문제부터 역순으로 문항 배치
- 인문, 사회, 과학, 기술, 예술, 독서 영역별 수록
- 해설에 지문과 문제가 그대로 나오는 첨삭해설 방식
- 지문 문장번호, 문단번호 표기
- 지문 내용을 한눈에 요약.정리하는 지문 구조도
- 지문의 이해를 돕는 풍부한 시각자료
- 지문 속 어휘/어구 풀이
- 문제 유형, 원문항 번호, 정답률 명시
- 근거, 풀이의 단계적 제시
- 틀린 선지 맞게 고치기
- 완전한 학습을 위한 다양한 Tip
- 평가원 이의신청 답변 수록"
에몽의 구문독해 해석기술,"<에몽의 수능영어 독해기술>의 저자 박희성이 어렵고 복잡한 구문 때문에 해석이 잘 안 되는 학생들을 위해 마련한 '해석을 위한 실전서'. 영문 독해를 하면서 만나게 되는, 걸림돌인 까다로운 구문만을 뽑아 이를 해결할 수 있는 '에몽의 26가지 해석기술'을 제시하였고, 이를 '시범 : 해석연습'과 '실전 : 해석훈련'을 통해 집중 훈련할 수 있게 구성하였다."
완자 고등 생활과 윤리 (2019년용),"생활과 윤리 새 교과서에서 다루는 내용을 꼼꼼히 정리하고, 선생님이 옆에 계신 듯한 친절한 설명을 실어 혼자서도 완벽하게 공부할 수 있는 자율 학습 교재이다."
